title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 الشرح العجاب على ملحة الإعراب في دائرة اهتمام المتخصصين في مجال اللغة العربية بشكل خاص والباحثين في الموضوعات ذات الصلة بوجه عام؛ حيث يدخل الكتاب ضمن نطاق تخصص علوم  اللغة العربية، ووثيق الصلة بالتخصصات الأخرى مثل القواعد اللغوية من نحو وصرف، والشعر، والأدب، والبلاغة، والآداب العربية، مع تمنيات &#34; مكتبة لسان العرب &#34; لقرّائها وأحبّائها ومتابعيها الكرام بالقراءة الممتعة النافعة.			 المفتى اللغوى ، بإشراف دار ابن سلام، مصر					 694 	https://www.lisanarb.com/2021/04/pdf_405.html	https://archive.org/download/lis_na80/lis_na8003.pdf https://archive.org/details/lis_na80/lis_na8003/mode/2up?view=theater 
 زهر الآداب، وثمر الألباب (ت مبارك وعبد الحميد)	 إبراهيم الحصري القيرواني (ت 453هـ)		 دار الجيل، بيروت			 4 		 1168 	https://www.lisanarb.com/2021/03/pdf_723.html	https://archive.org/download/lis_ak149/lis_ak14909.pdf https://archive.org/download/lis-a3m19/lis-a3m1908.pdf 
 القزويني والبلاغة الحديثة 	 د. أحمد مطلوب							 68 	https://www.lisanarb.com/2021/02/pdf_91.html	https://archive.org/download/lis_ak08/lis_ak0804.pdf https://archive.org/download/lis_ak007/lis_ak0804.pdf 
 التبيان في علم البيان (مطبعة العاني)	 ابن الزملكاني، عبد الواحد بن عبد الكريم (ت 651 هـ)	 د. أحمد مطلوب - د. خديجة الحديثي	 مطبعة العاني، بغداد 					 264 	https://www.lisanarb.com/2021/02/pdf_92.html	https://archive.org/details/lis_qd25/lis_qd2520/mode/2up?view=theater 
 التبيان في علم البيان									https://www.lisanarb.com/2021/02/pdf_69.html	https://archive.org/download/lis_qd132/lis_qd13204.pdf https://archive.org/download/lis_qd25/lis_qd2520.pdf https://archive.org/details/lis_qd132/lis_qd13204/mode/2up?view=theater 
 البرهان في وجوه البيان (ط العانى)	 ابن وهب الكاتب، إسحاق بن إبراهيم بن سليمان (ت 335 هـ)	 د. خديجة الحديثي ، د. أحمد مطلوب	 مطبعة العانى، بغداد					 483 	https://www.lisanarb.com/2021/02/pdf_22.html	https://archive.org/download/lis_bl02/lis_bl0208.pdf https://archive.org/download/lis_bl04/lis_bl0405.pdf https://archive.org/details/lis_bl02/lis_bl0208/mode/2up?view=theater 
 المثل السّائر (ط البابى)	 ضياء الدين ابن الأثير (الكاتب)، الجزري (ت 637هـ)	 محمد محي الدين عبد الحميد (ت1392هـ)	 مطبعة مصطفى البابي الحلبي، مصر						https://www.lisanarb.com/2021/02/pdf_43.html	https://archive.org/download/lis_ak147/lis_ak14714_1.pdf https://archive.org/download/lis_ak147/lis_ak14714_2.pdf https://archive.org/download/lis-a3m20/lis-a3m2003-1.pdf https://archive.org/download/lis-a3m20/lis-a3m2003-2.pdf https://archive.org/details/lis_ak147/lis_ak14714_1/page/n1/mode/2up?view=theater https://archive.org/details/lis_ak147/lis_ak14714_2/page/n1/mode/2up?view=theater 
 القصر الرهيب (ط الثقافية)	 أجاثا كريستى		 المكتبة الثقافية، بيروت					 142 	https://www.lisanarb.com/2021/02/pdf_63.html	https://archive.org/download/lis_aa03/lis_aa0302.pdf https://archive.org/download/azm101010_gmail_20160719_0850/%D8%A7%D9%84%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D8%B1%D9%87%D9%8A%D8%A8%20%D9%84%D8%A3%D8%AC%D8%A7%D8%AB%D8%A7%20%D9%83%D8%B1%D9%8A%D8%B3%D8%AA%D9%8A.pdf 
 القاتل الغامض (ط الثقافية)	 أجاثا كريستى		 المكتبة الثقافية، بيروت					 156 	https://www.lisanarb.com/2021/02/pdf_16.html	https://archive.org/download/lis_aa02/lis_aa0209.pdf https://archive.org/download/ajkth/ajkth17.pdf 
 تاريخ الأدب العربي (دار المعارف)	 شوقي ضيف (ت 1426هـ)								https://www.lisanarb.com/2021/02/pdf_58.html	https://archive.org/download/lis_ak124/lis_ak12401.pdf https://archive.org/download/lis_ak124/lis_ak12402.pdf https://archive.org/download/lis_ak124/lis_ak12405.pdf https://archive.org/download/lis_ak124/lis_ak12407.pdf https://archive.org/download/lis_ak124/lis_ak12411.pdf https://archive.org/download/lis_ak124/lis_ak12412.pdf https://archive.org/download/lis_ak124/lis_ak12414.pdf https://archive.org/download/lis_ak124/lis_ak12409.pdf https://archive.org/download/lis_ak124/lis_ak12413.pdf https://archive.org/download/lis_ak124/lis_ak12410.pdf https://archive.org/download/WAQ4449/01_4449.pdf https://archive.org/download/WAQ4449/02_4450.pdf https://archive.org/download/WAQ4449/03_4451.pdf https://archive.org/download/WAQ4449/04_4452.pdf https://archive.org/download/WAQ4449/05_4453.pdf https://archive.org/download/WAQ4449/06_sham.pdf https://archive.org/download/WAQ4449/07_78415.pdf https://archive.org/download/WAQ4449/08_124531.pdf https://archive.org/download/WAQ4449/09_124532.pdf https://archive.org/download/WAQ4449/10_asdoemgmms.pdf 
 الفكاهة في مصر (دار المعارف)	 د. شوقي ضيف (ت 1426هـ)		 دار المعارف، القاهرة					 210 	https://www.lisanarb.com/2021/02/pdf_54.html	https://archive.org/download/lis_ak123/lis_ak12304.pdf https://archive.org/download/011VW/011VW01058.pdf 
 العصر العباسي الأول (ط 16)	 د. شوقي ضيف (ت 1426هـ)							 578 	https://www.lisanarb.com/2021/02/16-pdf.html	https://archive.org/download/lis_ak124/lis_ak12406.pdf https://archive.org/stream/lis_ak124/lis_ak12406#mode/2up 
 أنساب العرب القدماء (ملون)	 جرجي زيدان		 مطبعة الهلال بالفجالة، مصر					 4.73 	https://www.lisanarb.com/2021/02/pdf_11.html	
 تاريخ التمدن الإسلامي، وهو يبحث في نشوء الدولة الإسلامية وتاريخها	 جرجي زيدان		 مطبعة الهلال بالفجالة، مصر					 1016 	https://www.lisanarb.com/2021/02/pdf_36.html	
 تاريخ التمدن الإسلامي (المجلد الخامس)	 جرجي زيدان		 مطبعة الهلال بالفجالة، مصر					 196 	https://www.lisanarb.com/2021/02/5-pdf.html	
 تاريخ التمدن الإسلامي (المجلد الرابع)	 جرجي زيدان		 مطبعة الهلال بالفجالة، مصر					 228 	https://www.lisanarb.com/2021/02/4-pdf.html	
 تاريخ التمدن الإسلامي (المجلد الثالث)	 جرجي زيدان		 مطبعة الهلال بالفجالة، مصر					 228 	https://www.lisanarb.com/2021/02/3-pdf.html	
 التفصيل في إعراب آيات التنزيل (ط الخطيب) 	 د. عبد اللطيف الخطيب ، د. سعد مصلوح ، أ. رجب العلوش		 مكتبة الخطيب للنشر والتوزيع، الكويت				 31 		https://www.lisanarb.com/2021/02/pdf_27.html	https://archive.org/download/lis_e3r21/lis_e3r2101.pdf https://archive.org/download/lis_e3r21/lis_e3r2102.pdf https://archive.org/download/lis_e3r21/lis_e3r2103.pdf https://archive.org/download/lis_e3r21/lis_e3r2104.pdf https://archive.org/download/lis_e3r21/lis_e3r2105.pdf https://archive.org/download/lis_e3r21/lis_e3r2106.pdf https://archive.org/download/lis_e3r21/lis_e3r2107.pdf https://archive.org/download/lis_e3r21/lis_e3r2108.pdf https://archive.org/download/lis_e3r21/lis_e3r2109.pdf https://archive.org/download/lis_e3r21/lis_e3r2110.pdf https://archive.org/download/lis_e3r21/lis_e3r2111.pdf https://archive.org/download/lis_e3r21/lis_e3r2112.pdf https://archive.org/download/lis_e3r21/lis_e3r2113.pdf https://archive.org/download/lis_e3r21/lis_e3r2114.pdf https://archive.org/download/lis_e3r21/lis_e3r2115.pdf https://archive.org/download/lis_e3r21/lis_e3r2116.pdf https://archive.org/download/tfseel-mishkat/tfseel01.pdf https://archive.org/download/tfseel-mishkat/tfseel02.pdf https://archive.org/download/tfseel-mishkat/tfseel03.pdf https://archive.org/download/tfseel-mishkat/tfseel04.pdf https://archive.org/download/tfseel-mishkat/tfseel05.pdf https://archive.org/download/tfseel-mishkat/tfseel06.pdf https://archive.org/download/tfseel-mishkat/tfseel07.pdf https://archive.org/download/tfseel-mishkat/tfseel08.pdf https://archive.org/download/tfseel-mishkat/tfseel09.pdf https://archive.org/download/tfseel-mishkat/tfseel10.pdf https://archive.org/download/tfseel-mishkat/tfseel11.pdf https://archive.org/download/tfseel-mishkat/tfseel12.pdf https://archive.org/download/tfseel-mishkat/tfseel13.pdf https://archive.org/download/tfseel-mishkat/tfseel14.pdf https://archive.org/download/tfseel-mishkat/tfseel15.pdf https://archive.org/download/tfseel-mishkat/tfseel16.pdf https://archive.org/download/Tfseelf11at/tfseelf11at.rar 
