title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 أخيار وأشرار وظرفاء وثقلاء	 عارف حجاوي		 دار مدارات للأبحاث والنشر	 القاهرة	 2023م	 الأولى	 1 	 432 	https://www.lisanarb.com/2024/02/pdf_746.html	
 نجمي الصغير ثعلوب	 جانيت بينغهام		 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2011م	 الأولى	 1 	 30 	https://www.lisanarb.com/2024/02/pdf_504.html	https://archive.org/download/lis_at088/lisanarb.com_at8808.pdf https://archive.org/download/lis_at88/lis_at8808.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8808#mode/2up 
 ليلة هنيئة أيها القمر السحري	 جانيت بينغهام		 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2013م	 الأولى	 1 	 30 	https://www.lisanarb.com/2024/02/pdf_149.html	https://archive.org/download/lis_at088/lisanarb.com_at8807.pdf https://archive.org/download/lis_at88/lis_at8807.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8807#mode/2up 
 كذبة بيضاء			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2013م	 الأولى	 1 	 26 	https://www.lisanarb.com/2024/02/pdf_879.html	https://archive.org/download/lis_at088/lisanarb.com_at8806.pdf https://archive.org/download/lis_at88/lis_at8806.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8806#mode/2up 
 زمردة في المخا			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2011م	 الأولى	 1 	 26 	https://www.lisanarb.com/2024/02/pdf_309.html	https://archive.org/download/lis_at088/lisanarb.com_at8805.pdf https://archive.org/download/lis_at88/lis_at8805.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8805#mode/2up 
 دروس في اللباقة مع دبدوب			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2008م	 الأولى	 1 	 28 	https://www.lisanarb.com/2024/02/pdf_348.html	https://archive.org/download/lis_at088/lisanarb.com_at8804.pdf https://archive.org/download/lis_at88/lis_at8804.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8804#mode/2up 
 بيت جديد للثعلب الصغير			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2011م	 الأولى	 1 	 30 	https://www.lisanarb.com/2024/02/pdf_855.html	https://archive.org/download/lis_at088/lisanarb.com_at8803.pdf https://archive.org/download/lis_at88/lis_at8803.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8803#mode/2up 
 الشجرة التي حولت ليلى إلى أميرة			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2008م	 الأولى	 1 	  	https://www.lisanarb.com/2024/02/pdf_323.html	https://archive.org/download/lis_at088/lisanarb.com_at8802.pdf https://archive.org/download/lis_at88/lis_at8802.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8802#mode/2up 
 السترة العجيبة			 أكاديميا انترناشيونال للنشر والتوزيع	 بيروت	 2013م	 الأولى	 1 	 24 	https://www.lisanarb.com/2024/02/pdf_487.html	https://archive.org/download/lis_at088/lisanarb.com_at8801.pdf https://archive.org/download/lis_at88/lis_at8801.pdf https://archive.org/stream/lis_at088/lisanarb.com_at8801#mode/2up 
 قصص الأنبياء (ط الطالب)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 د. مصطفى عبد الواحد		 مكة المكرمة	 1408هـ ، 1988م	 الأولى 	 2 تم دمج المجلدين في ملف واحد للتسلسل	 747 	https://www.lisanarb.com/2024/02/pdf_339.html	https://archive.org/download/lis_q146/lisanarb.com_q4606.pdf https://archive.org/download/FP121551/121551.pdf https://archive.org/stream/lis_q146/lisanarb.com_q4606#mode/2up 
 قصص الأنبياء (دار الطباعة)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 د. عبد الحي الفرماوي		 	 1417هـ ، 1997م	 5 	 1 	 773 	https://www.lisanarb.com/2024/02/pdf_712.html	https://archive.org/download/lis_q146/lisanarb.com_q4607.pdf https://archive.org/download/waq40105/40105.pdf https://archive.org/stream/lis_q146/lisanarb.com_q4607#mode/2up 
 قصص الأنبياء؛ منقحة مع زيادات	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 د. عبد الوهاب النجار		 لبنان	 2016م	 الأولى 	 1 	 528 	https://www.lisanarb.com/2024/02/pdf_632.html	
 قصص الأنبياء, طبعة 3 (ط العلمية)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 محمد عبد القادر شاهين		 بيروت	 2020م	 3 	 1 	 408 	https://www.lisanarb.com/2024/02/3-pdf.html	
 قصص الأنبياء RECITS DES PROPHETES	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	  د. علي عبود		 لبنان	 2015م	 الأولى 	 1 	 696 	https://www.lisanarb.com/2024/02/pdf-recits-des-prophetes.html	
 قصص الأنبياء Les Récits Des Prophètes	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)		 الدار العالمية للكتاب الإسلامي	 الرياض - السعودية	 2021م	 الأولى 	 1 	 238 	https://www.lisanarb.com/2024/02/pdf-les-recits-des-prophetes.html	
 قصص الأنبياء (دار ابن كثير)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 يوسف علي بديوي		 سوريا	 2013م	 الأولى 	 1 	 828 	https://www.lisanarb.com/2024/02/pdf_680.html	
 قصص الأنبياء (ط العلمية)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 د. عبد الوهاب النجار		 لبنان	 2004م	 3 	 1 	 528 	https://www.lisanarb.com/2024/02/pdf_212.html	
 قصص الأنبياء (دار الكتاب العربي)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 أحمد زهوة		 لبنان	 2003م	 الأولى 	 1 	 414 	https://www.lisanarb.com/2024/02/pdf_577.html	
 قصص الأنبياء (دار الكتاب)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 أحمد إبراهيم زهوة		 لبنان	 2003م	 الأولى 	 1 	 416 	https://www.lisanarb.com/2024/02/pdf_600.html	
 قصص الأنبياء (دار الخير)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 الدكتور على عبد الحميد أبو الخير	 دار الخير للطباعة والنشر والتوزيع	 مصر	 2003م	 الأولى 	 1 	 560 	https://www.lisanarb.com/2024/02/pdf_100.html	
 قصص الأنبياء (دار الجيل)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 د. السيد الجميلي	 دار الجيل للطبع والنشر والتوزيع	 لبنان	 2001م	 3 	 1 	 590 	https://www.lisanarb.com/2024/02/pdf_438.html	
 قصص الأنبياء (دار الأرقم)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)	 الهيثمي - الألباني - الأرناؤوط		 لبنان	 2004م	 الأولى 	 1 	 511 	https://www.lisanarb.com/2024/02/pdf_606.html	
 قصص الأنبياء (دار ابن حزم)	 ابن كثير؛ أبو الفداء إسماعيل بن كثير القرشي الدمشقي (ت 774هـ)			 بيروت	 2014م	 الأولى 	 1 	 507 	https://www.lisanarb.com/2024/02/pdf_923.html	
 كيف نتعلم الإعراب، طريقة ملونة مبتكرة (نسخة مفهرسة وقابلة للبحث)				 دمشق - بيروت	 1423هـ ، 2002م	 الثانية	 1 	 577 	https://www.lisanarb.com/2024/02/pdf_911.html	https://archive.org/download/lis_n103/lisanarb.com_n1307.pdf https://archive.org/download/lis_n101/lisanarb.com_n1107.pdf https://archive.org/stream/lis_n103/lisanarb.com_n1307#mode/2up 
 قواعد اللغة العربية الميسرة (نسخة مفهرسة وقابلة للبحث)	 د. فهمي قطب الدين النجار			 الرياض	 1428 هـ ، 2007م	 الأولى 	 1 	 59 	https://www.lisanarb.com/2024/02/pdf_619.html	https://archive.org/download/lis_n103/lisanarb.com_n1306.pdf https://archive.org/download/lis_n101/lisanarb.com_n1106.pdf https://archive.org/stream/lis_n103/lisanarb.com_n1306#mode/2up 
 طرائق استدراكات المفسِّرين على النحاة			 جامعة القاهرة – كلية دار العلوم	 القاهرة 	 1442هـ ، 2021م	 الأولى	 1 	 31 	https://www.lisanarb.com/2024/02/pdf_198.html	https://archive.org/download/lis_n105/lisanarb.com_n1504.pdf https://archive.org/stream/lis_n105/lisanarb.com_n1504#mode/2up 
 التهذيب و مفتاح اللبيب في شرح التهذيب	 بهاء الدين العاملي (ت 1030هـ)	 محمد لطف زاده و أمير النيسابورى	 مركز تراث البصرة	 العراق	 1441هـ ، 2020م	 الأولى	 1 	 666 	https://www.lisanarb.com/2024/02/pdf_610.html	https://archive.org/download/lis_n48/lisanarb.com_n4807.pdf https://archive.org/download/lis_ns53/lis_ns5304.pdf https://archive.org/stream/lis_n48/lisanarb.com_n4807#mode/2up 
 التهذيب لمغني اللبيب (ط العلمية)	 هاشم إبن السيد عبد الحي الطباطبائي		 المطبعة العلمية للنشر والتوزيع	 قم	 1386هـ	 الأولى	 1 	 222 	https://www.lisanarb.com/2024/02/pdf_182.html	https://archive.org/download/lis_n48/lisanarb.com_n4806.pdf https://archive.org/download/lis_na79/lis_na7908.pdf https://archive.org/stream/lis_n48/lisanarb.com_n4806#mode/2up 
 اللسانيات الوظيفية مدخل نظري	 الأستاذ الدكتور أحمد المتوكل		 دار الكتاب الجديد المتحدة	 بيروت	 2010م	 2	 1 	 290 	https://www.lisanarb.com/2024/02/pdf_568.html	https://archive.org/download/lis_m153/lisanarb.com_m5306.pdf https://archive.org/stream/lis_m153/lisanarb.com_m5306#mode/2up 
 اللسانيات الوظيفية المقارنة؛ دراسة في التنميط والتطور	 الأستاذ الدكتور أحمد المتوكل		 الدار العربية للعلوم، بيروت	 بيروت - الجزائر - الرباط	 1433هـ ، 2012م	 الأولى	 1 	 134 	https://www.lisanarb.com/2024/02/pdf_656.html	https://archive.org/download/lis_m153/lisanarb.com_m5305.pdf https://archive.org/download/lis_lis04/lis_lis0413.pdf https://archive.org/stream/lis_m153/lisanarb.com_m5305#mode/2up 
 الخطاب وخصائص اللغة العربية, دراسة فى الوظيفة والبنية والنمط	 الأستاذ الدكتور أحمد المتوكل		 الدار العربية للعلوم، بيروت	 بيروت - الجزائر - الرباط	 1430هـ ، 2010م 	 الأولى	 1 	 190 	https://www.lisanarb.com/2024/02/pdf_827.html	https://archive.org/download/lis_m153/lisanarb.com_m5304.pdf https://archive.org/download/lis_ar50/lisanarb.com_ar5002.pdf https://archive.org/stream/lis_m153/lisanarb.com_m5304#mode/2up 
 الخطاب الموسط؛ مقاربة وظيفية موحدة لتحليل النصوص والترجمة وتعليم اللغات	 الأستاذ الدكتور أحمد المتوكل		 دار الأمان للنشر والتوزيع	 المغرب	 2011م	 الأولى	 1 	 112 	https://www.lisanarb.com/2024/02/pdf_860.html	
 التركيبات الوظيفية قضايا ومقاربات	 الأستاذ الدكتور أحمد المتوكل		 دار الأمان للنشر والتوزيع	 المغرب	 1426هـ ، 2005م	 الأولى	 1 	 205 	https://www.lisanarb.com/2024/02/pdf_538.html	https://archive.org/download/lis_m153/lisanarb.com_m5303.pdf https://archive.org/download/lis_ar43/lisanarb.com_ar4309.pdf https://archive.org/stream/lis_m153/lisanarb.com_m5303#mode/2up 
 البنية التحتية أو التمثل الدلالي التداولي	 الأستاذ الدكتور أحمد المتوكل		 دار الأمان للنشر والتوزيع	 المغرب	 1995م	 الأولى	 1 	 237 	https://www.lisanarb.com/2024/02/pdf_373.html	https://archive.org/download/lis_m153/lisanarb.com_m5301.pdf https://archive.org/download/lis_lis11/lis_lis1106.pdf https://archive.org/stream/lis_m153/lisanarb.com_m5301#mode/2up 
 اللغة العالية, العربية الصحيحة للمذيع والمراسل ولكل صحفى	 عارف حجاوي		 قطاع ضبط الجودة والمعايير التحريرية في شبكة الجزيرة الإعلامية	 قطر	 2014م	 الأولى	 1 	 416	https://www.lisanarb.com/2024/02/pdf_439.html	https://archive.org/download/lis_m148/lisanarb.com_m4805.pdf https://archive.org/download/lis_arb66/lis_arb6602.pdf https://archive.org/stream/lis_m148/lisanarb.com_m4805#mode/2up 
