title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url	cover_urls
 أبو الطيب المتنبي، دراسة في التاريخ الأدبي (دار الفكر)	 ريجيس بلاشير		 دار الفكر، دمشق				 1  	 553 	https://www.lisanarb.com/2021/01/pdf_921.html	https://archive.org/download/lis_ad08/lis_ad0803.pdf https://archive.org/download/lis_ad8/lis_ad0803.pdf 	
 الفن ومذاهبه في النثر العربي (دار المعارف)	 د. شوقي ضيف (ت 1426هـ)		 دار المعارف، القاهرة 				 1 	 392 	https://www.lisanarb.com/2021/01/pdf_211.html	https://archive.org/download/lis_ad33/lis_ad3302.pdf https://archive.org/download/lis_ad033/lis_ad3302.pdf https://archive.org/details/lis_ad33/lis_ad3302/mode/2up?view=theater 	
 الفن ومذاهبه في الشعر العربي (دار المعارف)	 شوقي ضيف (ت 1426هـ)		دار المعارف, القاهرة  					 528  	https://www.lisanarb.com/2021/01/pdf_477.html	https://archive.org/download/lis_ak121/lis_ak12105.pdf https://archive.org/download/lisanarabs_Sh2/lisanarabs.blogspot.com_Sh15.pdf https://archive.org/download/328838932/alfn-w-mdhahbh.pdf https://archive.org/details/_ak121/lis_ak12105/mode/2up?view=theater 	
