title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url	cover_urls
 المنتخب من أدب العرب (نسخة قابلة للبحث)	 الدكتور أحمد الإسكندري ، والدكتور أحمد أمين ، والدكتور علي الجارم ، والدكتور عبد العزيز البشري ، والدكتور أحمد ضيف	 الدكتور 	 دار الكتاب العربى للنشر والتوزيع	 مصر	 1954م	 الأولى	 4 تم دمجهما في مجلد واحد	 702 	https://www.lisanarb.com/2023/10/pdf_441.html	https://archive.org/download/lis_a13/lisanarb.com_a1304.pdf https://archive.org/download/20220518_20220518_0451/%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8%20%D9%85%D9%86%20%D8%A3%D8%AF%D8%A8%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%20%28%20%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9%20%D8%A3%D8%AC%D8%B2%D8%A7%D8%A1%20%29%20%D8%8C%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%20%D9%88%20%D8%A3%D8%AD%D9%85%D8%AF%20%D8%A3%D9%85%D9%8A%D9%86%20%D9%88%20%D8%B9%D9%84%D9%8A%20%D8%A7%D9%84%D8%AC%D8%A7%D8%B1%D9%85%20%D9%88%20%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%20%D8%A7%D9%84%D8%A8%D8%B4%D8%B1%D9%8A%20%D8%8C%20%D9%86%D8%B3%D8%AE%D8%A9%20%D9%82%D8%A7%D8%A8%D9%84%D8%A9%20%D9%84%D9%84%D8%A8%D8%AD%D8%AB.pdf https://archive.org/stream/lis_a13/lisanarb.com_a1304#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiW5qC_abXGSg-K1q8_nRUJSKwcqZXwXaBRCWnDf7zpx6y_BrlEPBZNh5X-WHEpWE3rdhoaSwdhAsBsxsOJaPFMQKKzJ8GFnUlYlGjQ3NRpwo2j9igozoRLPpJIyLK3uPzn_XVO9Z0FLgNnOkuev7237UH42_RHEjOdLvmZ-6o81iN4iblvEOMTKem5/w320-h400-rw/df_43.jpg
 الإيضاح فى شرح المفصل (ط سعد)	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)	 د. إبراهيم محمد عبد الله	 دار سعد الدين 		 2005م	 الأولى 	 2 	 1428 	https://www.lisanarb.com/2023/10/pdf_747.html	https://archive.org/download/lis_q132/lisanarb.com_q3206.pdf https://archive.org/download/lis_q132/lisanarb.com_q3207.pdf https://archive.org/download/0105_20191221/0105%20%D9%83%D8%AA%D8%A7%D8%A8%20%20%20%D8%A7%D9%84%D8%A5%D9%8A%D8%B6%D8%A7%D8%AD%20%D9%81%D9%8A%20%D8%B4%D8%B1%D8%AD%20%D8%A7%D9%84%D9%85%D9%81%D8%B5%D9%84%20-%20%D8%B9%D8%AB%D9%85%D8%A7%D9%86%20%D8%A8%D9%86%20%D8%A7%D9%84%D8%AD%D8%A7%D8%AC%D8%A8%20%D8%A3%D8%A8%D9%88%20%D8%B9%D9%85%D8%B1%D9%88.zip https://archive.org/stream/lis_q132/lisanarb.com_q3206#mode/2up https://archive.org/stream/lis_q132/lisanarb.com_q3207#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhgKum8S_dEimyhCimPLdlHUv-ViTh2AjTE4PkaqGOc0n1ci0vb1ny1wTy4l7ZaO_27q7dTWZrala_huf6bEtns8uXAZ9K720Z2bMv43vTchtvxH3QjG170EidgDBe_32o2DQEZL114DI7sau2Uvm4IEJJU3ByVI5UbX4C5BpDDWVKQRYKY1vK8e8Wd/w320-h400-rw/3m754.jpg
 أصول الدرس النحوي في أمالي إبن الحاجب (دراسة تركيبية تطبيقية)	 د. سليمان عودة أبو صعيليك	 وقد طبع بتحقيق الدكتور موسى العليلي ببغداد في جزأين.	 دار المأمور، بدعم من وزارة الثقافة		 2009م	 الأولى 	 1 	 324 	https://www.lisanarb.com/2023/10/pdf_174.html	https://archive.org/download/lis_q126/lisanarb.com_q2604.pdf https://archive.org/download/lis_na058/lis_na5807.pdf https://archive.org/stream/lis_q126/lisanarb.com_q2604#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi5x86rWpq8WnCu5SjMAri6y9ppOuWewzEamqZ7Kn6RIB4klx55AEmby8wF7nJoIrRhGU2qBEyR4RYqQQzWZAggMvYL346WX8vmWjy7AO27vRlrQDjLXg32WbocKhNMppZFeSDR7BiSMr_BVHDGea4MKfRPj-YSqVo9I3gbH5xXEynjI049pKjjWwnj/w320-h400-rw/3m753.jpg
 آراء ابن الحاجب النحوية في أبيات للمتنبي	 الدكتورة فاطمة راشد الراجحي	 الدكتور 	 حوليات الآداب والعلوم الإجتماعية، الحولية 18 ، الرسالة 123 	 الكويت	 1418هـ ، 1998م 	 الأولى 	 1 	 108 	https://www.lisanarb.com/2023/10/pdf_792.html	https://archive.org/download/lis_q126/lisanarb.com_q2602.pdf https://archive.org/download/lis_a3m75/lis_a3m7504.pdf https://archive.org/stream/lis_q126/lisanarb.com_q2602#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjMa2cjswj1ZeV_YkKRXQw3JNoA7mgYKjw_vSnSscjurHQ5wIDVEBKrPNq36el7jrGv4cX2zCYRBOvyJ2OGuoAz619dG9sieBG1fPjb1kfCtH3Clg-o5IASbWR4puI7ngRDy9cgu-REdJJxmSGDs6_ZcjFniyGB7AeL9iVrloWl9q-IUpDlivIMzmTX/w320-h400-rw/3m751.jpg
 كيف تتقن النحو؟ (الطبعة الثامنة ملونة) مزيدة ومنقحة	 أحمد إسكندر		 دار اللؤلؤة للنشر والتوزيع	 المنصورة، مصر	 1444هـ ، 2022م	 الثامنة	 1 	 553 	https://www.lisanarb.com/2023/10/pdf_776.html	https://archive.org/download/lis_n81/lisanarb.com_n8110.pdf https://archive.org/stream/lis_n81/lisanarb.com_n8110#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhJ4-4Sd2-mMZ4Lvo64aA_I0Pk64qkLa8U_zXlw5LkYP_l2KBoqoLAvJH3DB2DCQ_MACjnQ5MW1C2UHUhWPdT8uhakwmEmxavtgwEqMxE9WbvNCPIe1vCKOE3LpgkwZJpEp6GHCgIWfaIhzZAoKr0pXH2eVhr-JeukC-HZJINS1YG2DX17QAdUcc2o4/w320-h400-rw/n632.jpg
 فقه اللغة في الكتب العربية	 د. عبده علي إبراهيم الراجحي		 دار النهضة العربية, بيروت		 1392هـ ,  1972م 	 الأولى 	 1 	 332 	https://www.lisanarb.com/2023/10/pdf_948.html	https://archive.org/download/lis_m76/lisanarb.com_m7606.pdf https://archive.org/download/lis_ak54/lis_ak5419.pdf https://archive.org/stream/lis_m76/lisanarb.com_m7606#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgQUYln2FtogR1-mnjxaBq1s84DpmZ6fKhLsXYV93s_q1f9FYXVgC_wAnxkUiam0t5OtDm9B9zSDQuecYS5yw_fhpWIaCCn9YGSQImbmgs2-3chClacAw28G8ppYzBseJTEOSPNOBuprC5sy65sI9mezIYB6MRdK2wivbmJRAAx4sq6PFrGf9KCzXPz/w286-h400-rw/898.jpg
 سلم الطلاب في قواعد الإعراب	 محمد خير آل جبير الإدلبي		 دار المقتبس، بيروت		 1435هـ ، 2014م	 الأولى 	 1 	 48 	https://www.lisanarb.com/2023/10/pdf_315.html	https://archive.org/download/lis_n79/lisanarb.com_n7909.pdf https://archive.org/stream/lis_n79/lisanarb.com_n7909#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjYLIRBXCPH45HOoujIj_ByAh3KxZT7Wz3XNcUFZbkyit1u84uTixcltSsh0C1xvDfzL-b-d9dmEyJOGa3W67GsWBE23tg7uFm7DUu_HNozUZIHlgDVOLbjfqf4uhb7ovvIHL8WQX1FiqSjd9_rmdFs7NjJSXMJQ79qF_QGpylzuC9JtAYFyDYeTcGk/w320-h400-rw/n042.jpg
 شرح الفعل المضارع	 فاروق مكام		 المؤلف		 1444هـ ، 2022م	 الأولى 	 1 	 30 	https://www.lisanarb.com/2023/10/pdf_414.html	https://archive.org/download/lis_n80/lisanarb.com_n8002.pdf https://archive.org/stream/lis_n80/lisanarb.com_n8002#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj1WS5v4HxsDU7rZ3PsxYpxT3PBBtlkQyfRdk9NpOeOcG9e0eHtaGMCrTVo6wSvc-BMteXbRGKOv4QAUUxcOqEec529Jxe4NV14O5VRi5wxg4X-naWL-_-zNq-q1x1oeGa3J_mi95iNyvhdTWkjUGsvlKYYMQPHbqGA3dn1-cTN6ZwfErROqKtED-p5/w320-h400-rw/n045.jpg
