title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 الجمع									https://www.lisanarb.com/2022/11/pdf_315.html	https://archive.org/download/lis_at28/lis_at2801.pdf https://archive.org/stream/lis_at28/lis_at2801#mode/2up https://archive.org/download/lis_at28/lis_at2802.pdf https://archive.org/stream/lis_at28/lis_at2802#mode/2up https://archive.org/download/lis_at28/lis_at2803.pdf https://archive.org/stream/lis_at28/lis_at2803#mode/2up https://archive.org/download/lis_at28/lis_at2804.pdf https://archive.org/stream/lis_at28/lis_at2804#mode/2up 
 الاختراعات الكبرى	 ريتشارد بوود		 مكتبة لبنان ناشرون، بيروت		 1980م	 الأولى 			https://www.lisanarb.com/2022/11/pdf_510.html	https://archive.org/download/lis_at23/lis_at2301.pdf https://archive.org/download/lis_at23/lis_at2302.pdf https://archive.org/download/lis_at23/lis_at2303.pdf https://archive.org/download/lis_at23/lis_at2304.pdf https://archive.org/download/lis_at23/lis_at2305.pdf https://archive.org/download/lis_at23/lis_at2306.pdf https://archive.org/download/lis_at23/lis_at2307.pdf https://archive.org/download/lis_at23/lis_at2308.pdf https://archive.org/download/lis_at23/lis_at2309.pdf https://archive.org/download/lis_at23/lis_at2310.pdf https://archive.org/download/lis_at23/lis_at2311.pdf https://archive.org/download/lis_at23/lis_at2312.pdf https://archive.org/download/lis_at23/lis_at2313.pdf https://archive.org/download/lis_at23/lis_at2314.pdf https://archive.org/download/lis_at23/lis_at2315.pdf 
 الفكاهة في مصر (دار المعارف)	 د. شوقي ضيف (ت 1426هـ)		 دار المعارف، القاهرة		 2004م	 الثالثة		 210 	https://www.lisanarb.com/2022/11/pdf_63.html	https://archive.org/download/lis_ak123/lis_ak12304.pdf https://archive.org/download/011VW/011VW01058.pdf https://archive.org/stream/lis_ak123/lis_ak12304#mode/2up 
 ديوان الجواهري (ط االعراق)	 محمد مهدى الجوهرى		 طبعة وزارة الإعلام العراقية		 صَدَرَت الأجزاء ١ ـ  ٦  في السنوات ١٩٧٣ـ ١٩٧٥م	 الأولى 		 2685 	https://www.lisanarb.com/2022/10/pdf_185.html	https://archive.org/download/lis_mm05/lis_mm0501.pdf https://archive.org/download/lis_mm05/lis_mm0502.pdf https://archive.org/download/lis_mm05/lis_mm0503.pdf https://archive.org/download/lis_mm05/lis_mm0504.pdf https://archive.org/download/lis_mm05/lis_mm0505.pdf https://archive.org/download/lis_mm05/lis_mm0506.pdf https://archive.org/download/lis_mm05/lis_mm0507.pdf https://archive.org/stream/lis_mm05/lis_mm0501#mode/2up https://archive.org/stream/lis_mm05/lis_mm0502#mode/2up https://archive.org/stream/lis_mm05/lis_mm0503#mode/2up https://archive.org/stream/lis_mm05/lis_mm0504#mode/2up https://archive.org/stream/lis_mm05/lis_mm0505#mode/2up https://archive.org/stream/lis_mm05/lis_mm0506#mode/2up https://archive.org/stream/lis_mm05/lis_mm0507#mode/2up 
 ابن الفارض	 يوحنا قمير		 دار المشرق (المطبعة الكاثوليكية) - بيروت						https://www.lisanarb.com/2022/10/pdf_336.html	https://archive.org/download/lis_qd31/lis_qd3101.pdf https://archive.org/download/lis_qd31/lis_qd3102.pdf https://archive.org/download/lis_qd31/lis_qd3103.pdf https://archive.org/download/lis_qd31/lis_qd3104_1.pdf https://archive.org/download/lis_qd31/lis_qd3104_2.pdf https://archive.org/download/lis_qd31/lis_qd3105.pdf https://archive.org/download/lis_qd31/lis_qd3106.pdf https://archive.org/download/lis_qd31/lis_qd3107.pdf https://archive.org/download/lis_qd31/lis_qd3108.pdf https://archive.org/download/lis_qd31/lis_qd3109.pdf https://archive.org/download/lis_qd31/lis_qd3110.pdf 
 معاني حروف المعاني, عند ابن هشام والرمّاني (بحث مقارن)	 د. عبّاس الترجمان		 مؤسسة الأعلمى - مطبعة الأحمدى		 1404هـ 	 الأولى 		 234 	https://www.lisanarb.com/2022/10/pdf_631.html	https://archive.org/download/lis_na47/lis_na4701.pdf https://archive.org/download/lis_na047/lis_na4701.pdf https://archive.org/stream/lis_na47/lis_na4701#mode/2up 
 450 سؤالاً وجواباً في النحو والصرف, دراسة ميسرة وشاملة وجامعة لشرح ابن عقيل علي ألفية ابن مالك	 محمد علي أبو العباس		 دار الطلائع للنشر والتوزيع	 القاهرة	 1996م	 الأولى	 1 	 386 	https://www.lisanarb.com/2022/10/450-pdf.html	https://archive.org/download/lis_n01/lisanarb.com_n0103.pdf https://archive.org/download/lis_ns46/lis_ns4604.pdf https://archive.org/stream/lis_n01/lisanarb.com_n0103#mode/2up 
