title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url	cover_urls
 مرجع الطلاب في الإنشاء (طبعة 7)	 الدكتور إبراهيم شمس الدين		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1426هـ ، 2015م	 7	 1 	 226 	https://www.lisanarb.com/2024/05/7-pdf_29.html	 https://archive.org/download/lis_m166/lisanarb.com_m6603.pdf  https://archive.org/stream/lis_m166/lisanarb.com_m6603#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiI-LOtUtQyk_y_nT9j9PF9zusQ2d19D7DkrN9LpEoSg9z2IYJul-Ne4cdVulGB6Dukt1abYwkWiuGrbAKzYpjWKe9jUX9f3Od7wCnQTBSZ3YnUUMIeL1leWz5-oJubFyrNVGEoXNHx81Ur0RKY6ber69Ug4fvExS4ihULm9-VBPygGtIUbIuWQGo3_/w318-h400-rw/ZFZA554.jpg
 مرجع الطلاب في تيسير الإنشاء (طبعة 4)	 الدكتور إبراهيم شمس الدين		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1437هـ - 2017م	 4	 1 	 162 	https://www.lisanarb.com/2024/05/4-pdf_29.html	 https://archive.org/download/lis_m166/lisanarb.com_m6606.pdf  https://archive.org/stream/lis_m166/lisanarb.com_m6606#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjpWpXEfO0gLxEsC-GLoDuDfWMS967EhEaAPzZlGwU2Pj080t-TvljLOuTrhjHlAV1wfOrfDBFisxQwv34TZx6_1y0lYc8czKzLf1sBIjFpBGwNZFew9wViZRKNPkKkBaX7-PCPyvJSmo6v3hzTGqT-NY9-HnOVdGq6iLrcAon1EF1n0tksi7xQuH7Y/w318-h400-rw/ZFZA553.jpg
 الإيضاح في علوم البلاغة, المعاني والبيان والبديع (طبعة 2)	 الخطيب القزويني محمد بن عبد الرحمن جلال الدين (ت 739هـ)	 الدكتور إبراهيم شمس الدين	 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1431هـ ، 2010م	 2 	 1 	 415 	https://www.lisanarb.com/2024/05/2-pdf_90.html	https://archive.org/download/lis_m161/lisanarb.com_m6101.pdf https://archive.org/download/lis-bla06/lis-bla0601.pdf  https://archive.org/stream/lis_m161/lisanarb.com_m6101#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhSb6rU48nyLLzPZMSpMR44yNyAUPueSfNIBziFRmuTHjJt29pw3E91pRkmLri9PTjeZtkDI7kZRy49G_MEy-YufwPMvBhwwimBQfjIMzy18LTgPm4WSdNEf7wY8e7RMk-uzyGR1k23WzA8wXA7xcaR_6J39ldsOSETezUy2Dx-wlvUat9mUO5hVnCx/w294-h400-rw/ZFZA552.jpg
 الإيضاح في علوم البلاغة ؛ المعاني والبيان والبديع (طبعة 1)	 الخطيب القزويني محمد بن عبد الرحمن جلال الدين (ت 739هـ)	 الدكتور إبراهيم شمس الدين	 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1424هـ ، 2003م	 الأولى	 1 	 415 	https://www.lisanarb.com/2024/05/1-pdf_29.html	https://archive.org/download/lis_m161/lisanarb.com_m6102.pdf https://archive.org/download/lis_bl19/lis_bl1908.pdf  https://archive.org/stream/lis_m161/lisanarb.com_m6102#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgKWHk6A_sjvexDDWyNfB6m3bpMk9no_a1MovFtHO8a-SUq_YUW7ygn4FGn1YA3ggYmwZ3lawqINWiuP9tIRKR7iNaP56NrSCEBo57j6gpeeVQ6Wy58EtBEwBkunAdXv3HVjX1h4tNoXQIYA7elxbmgrdKUhUs_TUset-kMq7or2YF16Tryyl-KKg0D/w294-h400-rw/ZFZA551.jpg
 أبنية الفعل ؛ في شافية ابن الحاجب (دراسات لسانية ولغوية)	 ابن الحاجب (ت 646هـ)		 دار الفكر اللبناني للنشر والتوزيع	 بيروت	 1418هـ ، 1997م	 الأولى	 1 	 369 	https://www.lisanarb.com/2024/05/pdf_789.html	 https://archive.org/download/lis_q172/lisanarb.com_q7202.pdf https://archive.org/download/lis_q126/lisanarb.com_q2601.pdf  https://archive.org/stream/lis_q172/lisanarb.com_q7202#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi_WtdKXaoB_qhknGfMHykzSaewS1L5XKPe0_oef9Aj-qPdyEVD9Ih_F5BpM4RTJqLGwWqpup3gRFR7rSLbjLiNcP7j86njR08kuOTvpVK1DTHovmFksw-U2YEIBslMqNVFGUpxWlA7C9YbCoZImwL-npGN6qIhUVIVDlIst3uwpjkBRO10AgP-pbeG/w294-h400-rw/KPNQ6.jpg
 الشافية في علم التصريف ؛ ويليها الوافية نظم الشافية	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)	 الدكتور حسن أحمد العثمان	 المكتبة المكية للنشر والتوزيع	 مكة المكرمة، السعودية 	 1415هـ ، 1995م 	 الأولى	 1 	 344 	https://www.lisanarb.com/2024/05/pdf_808.html	 https://archive.org/download/lis_q126/lisanarb.com_q2607.pdf https://archive.org/download/lis_a3m75/lis_a3m7509.pdf  https://archive.org/stream/lis_q126/lisanarb.com_q2607#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi8klQDdhcQFjZ5RIoIevEa8ASLuzU_onfeuSwy-loh7jRv0EvEvid1UFnbnwQLyeQStInQREbV2ZThDujkFvSwlXXK1WCMHW_aOGRlg_g2s-fK5t4_Cm4oM8_ORhDNf0LphNdsm2f_tUjX5-n172K7pektNURXt3z4TRTMeTogKpTWzQZtQIXYynWQ/w294-h400-rw/KPNQ4.jpg
 الشافية في علمي التصريف والخط (طبعة الثانية)	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)	 الدكتور حسن أحمد العثمان الشافيجي	 المكتبة المكية للنشر والتوزيع	 السعودية	 1435هـ ، 2014م	 الثانية	 1 	 530 	https://www.lisanarb.com/2024/05/2-pdf_74.html	 https://archive.org/download/lis_q126/lisanarb.com_q2608.pdf https://archive.org/download/lis-na005/lis-na0507.pdf  https://archive.org/stream/lis_q126/lisanarb.com_q2608#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhxAR0yzmXTTag_ubrE9XE3eWX6dl7uCFIsHQqyYsg4i7Wzf1kN_dPHQ-oxwFNNiNTgzOBYOzWaCJkha5hIBpZt1e76ddT1hJ8GvRlZZ1NupuPtVN9zP1uXYeXoD9ILe8nknPLa2SHRWMmJeE_Fwy85xTN8Cz7mdXqNwxWCQlOBpZyNKCJwzz7tLV6W/w294-h400-rw/KPNQ3.jpg
 الشافية (ط الجوائب)	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)		 مطبعة الجوائب للنشر والتوزيع	 قسطنطينية	  1302هـ 	 الأولى	 1 	 66 	https://www.lisanarb.com/2024/05/pdf_163.html	https://archive.org/download/lis_q172/lisanarb.com_q7206.pdf https://archive.org/download/lis_na41/lis_na4105.pdf  https://archive.org/stream/lis_q172/lisanarb.com_q7206#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiQ-eWG517IZWiaOWF30PsY0Q7bu0XepCf-bDhq6TPxwQfY4sm8HtqTv1odDMvXLlcc1nEfUG-99CXat-2aEJzWxYNUGUFN512W7-BEd1shlI9HN75Y2DH1FFmaGWqOvg2zQBGhLQdpnRCGLwY21_BMys5lEANwQIqDS49CDvruCgzH2ZWkP53SEMrU/w294-h400-rw/KPNQ2.jpg
 الشافيه في علمى التصريف والخط	 ابن الحاجب، جمال الدين بن عثمان بن عمر (ت 646هـ)		 غير محدد		 2020م	 الأولى	 1 	 52 	https://www.lisanarb.com/2024/05/pdf_321.html	 https://archive.org/download/lis_q126/lisanarb.com_q2609.pdf https://archive.org/download/lis_mq08/lis_mq0802.pdf  https://archive.org/stream/lis_q126/lisanarb.com_q2609#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjTVOk0cO-O7BYyrNkjaEYMKuMi0j3zrST8lriH8uskTpXElvbdCYjdExj8sfafaV-8fDrKirBk-KzySro1gpA-f-SVI9g7Ni3-d4yHzjySsIu3Pg1CHpa4XFJDCP5TRDE2yqXNnK2jr0FCSGw-S4XsME-UqHRSBaypmBBKajJZaPqioWvwohq69HbC/w294-h400-rw/KPNQ1.jpg
 الأصوات اللغوية وظواهرها عند الجاربردي في شرحه على شافية ابن الحاجب	 الأستاذ الدكتور صباح عباس سالم		 دار الرضوان للنشر والتوزيع	 الأردن	 2019م	 الأولى	 1 	 369 	https://www.lisanarb.com/2024/05/pdf_140.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiomruVJWQLieHos91PJaD252_b-opEuqNGgTztqurbzGU1aXvlQdwmLapcrtc8ojG5Zpu3cZGbfTl-zV8mcx6aOCfmivXZ7L4eukj0j_uhYtSRWVJovvin0TApD63URiMBQyboTwhFF0CvKMlqJzDQ2lMJ9248kSgTAPaHyGNUK6GqOH4p8lD1b0qC/w294-h400-rw/KPNQ5.jpg
 حافظ إبراهيم الأعمال النثرية	 حافظ إبراهيم		 المجلس الأعلى للثقافة	 القاهرة	 2007م	 الأولى	 1 	 504 	https://www.lisanarb.com/2024/05/pdf_401.html	 https://archive.org/download/lis_m117/lisanarb.com_m1702.pdf  https://archive.org/stream/lis_m117/lisanarb.com_m1702#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiv2OZo4vZxrFMjOQPZNFnVlT_ZdmtgicAmCl7A9QtaEvD6BgPM9NYic6w7KT-jvjAMTDUdXEl6U2gjphRO-C1052zODxjk1hF0uSU2sL8KeeN3ZQ2JruMldBbKuP15d4uQgPdyfkHBjxtun1orAGIBFV_fOmyi0m22rZYr50lTq9fUPoK9nMbvwZgZ/w294-h400-rw/Tuvx5.jpg
 ثقافتنا في عصر العولمة	 الأستاذ الدكتور أحمد درويش		 الشركة المصرية العالمية للنشر - لونجمان	 القاهرة	 2003م	 الأولى	 1 	 432 	https://www.lisanarb.com/2024/05/pdf_879.html	 https://archive.org/download/lis_m116/lisanarb.com_m1608.pdf  https://archive.org/stream/lis_m116/lisanarb.com_m1608#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhB90kl8zZIl0H5Dc-zvVriEi11na7dcxkHeY6f08AhOnX6txFq3zy3Emke9kMKzJ2k9-RtBNrNbFOKL_uSNtdr1seo8-nRTkuTyQKhFNDClqDMn47RUZ48lbCcs36r-ukhse8pljwwLMu2tAKD6uvfgDM5hkyJ_ZN1PfUGGlBjEbmwHhnjzV9IFFSb/w294-h400-rw/Tuvx4.jpg
 تقنيات الفن القصصي عبر الراوي والحاكي	 الأستاذ الدكتور أحمد درويش		 الشركة المصرية العالمية للنشر - لونجمان	 القاهرة	 1998م	 الأولى	 1 	 344 	https://www.lisanarb.com/2024/05/pdf_278.html	 https://archive.org/download/lis_m116/lisanarb.com_m1607.pdf  https://archive.org/stream/lis_m116/lisanarb.com_m1607#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh_mvKai-VfFVBa5zRWMaT7dn9WWs7K-f4rqi8iq_tnkZXKCu8RqKTYrHsk964D1WKqNrPeBSn50ypETQ3F1JkI58Qp8cVGSj2muIW-z9Vd0aY3GdVe5z8RU5O-dwDIRphHTntQF0gIe8AhO2Hgh71mfKPkjIX-fLF8EtKK5SrikAESkXf00XlSsAdH/w294-h400-rw/Tuvx3.jpg
 النظرية الشعرية (بناء لغة الشعر, اللغة العليا)	 جون كوين	 الأستاذ الدكتور أحمد درويش	 دار غريب للطباعة والنشر	 القاهرة	 2000م	 الأولى	 1 	 543 	https://www.lisanarb.com/2024/05/pdf_235.html	 https://archive.org/download/lis_m116/lisanarb.com_m1602.pdf  https://archive.org/stream/lis_m116/lisanarb.com_m1602#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHzKy2zHjY_CzfwgAqV1gf_M_EGmc9ciL6JYrQNLcTh9W1GAhYjaV3GP_4cqZJZNCAyHwuP6b_owZN5RVEoeyhg1vlABMwnwfHaWKjxxUo5P8XJuJA7pDG4FxBNV9yRwzmKpfuHzSxrPtDxCuUTKvwWDgdxH2di7T9CFwjwD_OPw3MlE6t6dtzpmEL/w294-h400-rw/Tuvx2.jpg
 الشاعر واستئناس الموت (قراءة فى شعر أحمد حجازى)	 الأستاذ الدكتور أحمد درويش		 جمعية المحيط الثقافية للنشر والتوزيع	 المغرب	 1996م	 الأولى	 1 	 33 	https://www.lisanarb.com/2024/05/pdf_928.html	 https://archive.org/download/lis_m115/lisanarb.com_m1508.pdf  https://archive.org/stream/lis_m115/lisanarb.com_m1508#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhINmILVko2Mg-xE8jF-MsKTbp8m1GotROSYCqpKtcfuXhaZ-myLKdlWNaua_c8-ZxXfLsnPZV1AP0tzxEjMGVyEVgTzEtKf_Wa5maX03wvfTPiCi47ltHjTpxJwWSundOOaDm6bil5PKToA_TWJi1f1PixHT7dnBqVnjHdhRiTXtAFIpVRrFoDdczM/w294-h400-rw/Tuvx1.jpg
 الوردة قالت للقمر	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 	 29 	https://www.lisanarb.com/2024/05/pdf_666.html	 https://archive.org/download/lis_an129/lisanarb.com_an2917.pdf  https://archive.org/stream/lis_an129/lisanarb.com_an2917#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjl_TfCtPCWtJhFJ1Vhc0a-Go9M1ts52-O6AWPCk3_h3kPBSl3qVw4-VuCWyQR_eemvyEqnQoUFZMy_lfO2PZUHG3vSmfO2-1Z53A7Xo_1zT-3pRf4FcAzx9n97K2gc8-DgXn-owpFkOa-FI0hvQ2hsbfN3GXcyCf_mB6x0tjCp8XdhhhQ1LUqCBkzc/w294-h400-rw/anno477.jpg
 النسر العربي	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 	 12 	https://www.lisanarb.com/2024/05/pdf_743.html	 https://archive.org/download/lis_an129/lisanarb.com_an2916.pdf  https://archive.org/stream/lis_an129/lisanarb.com_an2916#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjWpnWuTMqV9ZJ7-B-T4ZpLOUwPMM5prFAjLytUSzWN8XO_nF6x3EDb9uD0TL1pH3nnEvnYmQxtcm5nDPLkXdCfOZL2adHGKHKHitrIh4uF3zrnva_vPbzgZser8ryG4PmeAJ8wV_WyiQklCaLWF58fy95FXg5XnycjrPSKHGjDC9tuqzUSvm_iaY2z/w294-h400-rw/anno476.jpg
 النجمة المسافرة	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1986م	 الأولى	 1 	 33 	https://www.lisanarb.com/2024/05/pdf_809.html	 https://archive.org/download/lis_an129/lisanarb.com_an2915.pdf  https://archive.org/stream/lis_an129/lisanarb.com_an2915#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmL3gnn0EzobfVje_VEyPm96R_KRewkzSVB0gawL-9ZitoIZTCDV_GjRsiDtDVKrVcSC6gmI4R4muRVEXUAPlJR4-3EtYyDJKFpi2i-qUVgQB9D2CK_LlUw65YWudGtjOMSSzpEYB7N9B8pHAxL2Ef0zV4phek8g6mCEJw7ELBGrsc3KQhZVd0blhR/w400-h260-rw/anno475.jpg
 المتنبى والأطفال	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 	 64 	https://www.lisanarb.com/2024/05/pdf_981.html	 https://archive.org/download/lis_an129/lisanarb.com_an2914.pdf  https://archive.org/stream/lis_an129/lisanarb.com_an2914#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj-VWEySmmopQGjP_BzMQAlXxn03CXL9uebsP4pvTtFIXdTEKnS6f9WEWxrrTq8wuNcKR6Go7VZNG0tURTeHa97cnyXVRLjIGP4FA-sDXchQLGrX-ZvNZDiBffHhSVfqm9-AAY1i0hwpo3DhIn82pnrN8fPXjN1XNXq-88A1f99Di5CTT8XhpEW2FfO/w294-h400-rw/anno474.jpg
 القط المحتال	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 	 10 	https://www.lisanarb.com/2024/05/pdf_162.html	 https://archive.org/download/lis_an129/lisanarb.com_an2913.pdf  https://archive.org/stream/lis_an129/lisanarb.com_an2913#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiEGqwpcHgU_DVDzFXdmCVfGlY9pYhzxaBmo6XB65rdwwAnS1KFxYokgf_8hw1AyiTuRks3JN7zmIVpaXv7Os1h8J_aqKNMj4KeGc749lGt2VlJiMNWUjdjXwyY7h4Mmnk_TeNtK-ZGEZHZKqajiL0Bsnk7_dIfeB_ll0pUUd2gSZWX5-yV-XeH1BXi/w294-h400-rw/anno473.jpg
 الفرشات الهاربة	 ▫️		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 		https://www.lisanarb.com/2024/05/pdf_916.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjzyAh6TM2PJnsrc3rEqeGAE-jVxlRSRz7jvxJc3iVG7ymQ3pMqaRprOZDAQIZCydtCjJhyphenhyphenJ6C-K59JBK6tj3iz6VhBWu4ZNwPMPe9_L1tC-Y2WVFDqN8ytq0M8eTRrZFzw_RRl42gCAvORSOrg9_KO55cyRMKa-XMomoSixagFg022jONorDQjhKzM/w294-h400-rw/anno472.jpg
 أغنيات للمعركة	 مجموعة من الشعراء		 دار ثقافة الأطفال للنشر والتوزيع	 العراق	 1981م	 الأولى	 1 		https://www.lisanarb.com/2024/05/pdf_477.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjoqHocv0_s6K078Bhj7yqwlg_e6NrQCLJuySFE_A1CWquGUjy8fN-slBswaqWiLZ_gfcW-9zDx31WR2rLSxunrc5YYyZwfp7THKYgFmPqokqUq9jb3DNNIwX61T5lfPwV5emNneNgWaxmhjRLjFS_98vbXCRumktZ_KAbYDmDw7z4ciKGp0YxZlKAV/w294-h400-rw/anno471.jpg
 ألفية ابن مالك (ط العربي)	 ابن مالك الأندلسي، أبو عبد الله محمد جمال الدين الطائي (ت 672 هـ)		 دار الكتاب العربي للنشر والتوزيع	 بيروت	 2022م	 الأولى	 1 	 326 	https://www.lisanarb.com/2024/05/pdf_706.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgqauVwd7iXQ-XtaQHmF-xc0nvinwPkB-spDWHppMZWxdQwWJyEXfahRdzwAE9tLHK80NKR1eY1M40yvsiwWR0JRjtLq3yIwrZfpg_Vl8QeNON0O6wMr8Pc6L6NfWRv_f3eBytc991Zqicf1Tk603_kU_McEiGTqX-33rxnwA9ip7E0PFRi-JN7mmCe/w294-h400-rw/fJd3729.jpg
