title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url	cover_urls
 مبحث عن القوى النفسانية أو كتاب في النفس على سنة الاختصار	 ابن سينا، أبو علي الحسين بن علي (ت 428هـ)	 إدورد كرنيليوس فنديك	 دار ومكتبة بيبليون للنشر والتوزيع	 لبنان	 2014م	 الأولى	 1 	 205 	https://www.lisanarb.com/2024/05/pdf_719.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgcedTfm947RpI5FAj11Y3kgBqmehzaR1fTVdeopXvv8WagKTvUEG6HPm21j_LOvFNX_vv3df8ZKWEaF728yp9xs2VzZZxvT0Tw-lOCyo7X9uXDZHVC5-vhF-DvZfW4OLvNNRnmysH6XqcI9ys6N7zWXy9ZgMUaNoU953-hPpBkQ4VXthyphenhyphenGg4jCtrS4/w294-h400-rw/TexX9875.jpg
 كتاب المجموع	 ابن سينا، أبو علي الحسين بن علي (ت 428هـ)	 الأستاذ الدكتور محمد سليم سالم	 وكالة الصحافة العربية للنشر والتوزيع		 2021م	 الأولى	 1 	 65 	https://www.lisanarb.com/2024/05/pdf_612.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj-lqvhDp6thHUnn0Y_NmNqWqQgxDYcsvEo5z4A0LOXuKCvOTY1LWDVIixjGxvdFs_a_YRxq1D-c6Y2aCC_vN7QO3ka7N6V_zUksM7_BGKqFG9rUtyD_Xc1b6d58IG0MnV7BaBSj8X_wwaFtI9-yl4c_XgOUJ5I75Y4mDCXfzx7S0gvt_Wi_iiFsJWm/w294-h400-rw/TexX9874.jpg
 كتاب المجموع أو الحكمة العروضية المنسوب إلى أبي علي ابن سينا (دار الهادي)	 ابن سينا، أبو علي الحسين بن علي (ت 428هـ)	 الأستاذ الدكتور محسن صالح	 دار الهادي للطباعة والنشر والتوزيع		 2007م	 الأولى	 1 	 183 	https://www.lisanarb.com/2024/05/pdf_276.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhaROxTX-EiLqg_SpjXsjSUTCcgEZBNvN2ACYO5ft09MH0amACbThLSW70rOEX45Eg4F2WCBo9hycxeq4aGWjY7pklV-q6OGXwAtKeaAQUdpGRt0ShZMWBZl8tbl9OFdTt_0dCZvhr1KZQEKO5nxrIOPKoTcbtx7asLhfsyU4gQvq5-kvr37EXHpsJ1/w294-h400-rw/TexX9873.jpg
 كتاب المباحثات (ط بيبليون)	 ابن سينا، أبو علي الحسين بن علي (ت 428هـ)	 الأستاذ الدكتور عبد الرحمن بدوي	 دار ومكتبة بيبليون للنشر والتوزيع	 باريس	 2017م	 الأولى	 1 	 180 	https://www.lisanarb.com/2024/05/pdf_627.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiOSwlegJfGc0ZE5ekQIw6ykSt11FApiDv5hjQ_K7tCyE3ExBdigdqnZA6yeF62m8sFMhZ5xkg-T-E-PHkVWPfqkTrCnPLnSf2c_xPHvNjR10Y-IawlydEkwSZkYmM7NJf7CIfsNGKfLNh4KZYalb8zAGew9vD_NLPRpZ_hyphenhyphenTUGg0PUDnHYP9b_hC6X/w294-h400-rw/TexX9872.jpg
 كتاب الشفاء لابن سينا  (ط الجامعية)	 ابن سينا، أبو علي الحسين بن علي (ت 428هـ)		 المؤسسة الجامعية للدراسات والنشر		 1988م	 الأولى	 1 	 272 	https://www.lisanarb.com/2024/05/pdf_767.html		https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhAKNuu9ERQpmpKUkEBo47rNb_LJr5-LnlLxzkEFxkIGQB7lZ7GTvz1ubrfd-yVwG4zdvei8w1cYpUyqU7DFhTbTzAk1FLu5cAAcl1g4Bba4OnrtaF5uOcBtH0cujpRR5DIUiSoVQr8udyOeAMLqLaW0mu7OPckr2tCBvaXXjam6VI63TcCVUXlYWDW/w294-h400-rw/TexX9871.jpg
 مرجع الطلاب في الإعراب (نسخة مفهرسة وقابلة للبحث)	 الدكتور إبراهيم شمس الدين		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1424هـ ، 2004م	 2 	 1 	 239 	https://www.lisanarb.com/2024/05/pdf_443.html	 https://archive.org/download/lis_n103/lisanarb.com_n1309.pdf https://archive.org/download/lis_n101/lisanarb.com_n1109.pdf  https://archive.org/stream/lis_n103/lisanarb.com_n1309#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhi8ba96UrAq8PBUZ6FDADrrXc-fRTwwdutMzUBKUfTrJdR9HnwuU_EPzR-Jc-0vtk8m1B1UdQizpuKigt4UQH7bvHHzwbbrB9aP7ilGYKcQDoec3Vx-qIG5Q9wA7hhMmDRwG4F1wEjuvkrclFsArE9pb2JDEtU8hXjgxA12JKc09u5FL-8PA6U2p1L/w318-h400-rw/ZFZA559.jpg
 مرجع الطلاب في الإعراب (طبعة 6)	 الدكتور إبراهيم شمس الدين	 الأستاذة فوزية الطرمباتي	 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1441هـ ، 2021م	 6	 1 	 240 	https://www.lisanarb.com/2024/05/6-pdf_29.html	 https://archive.org/download/lis_m166/lisanarb.com_m6601.pdf  https://archive.org/stream/lis_m166/lisanarb.com_m6601#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgZ4T0nKMBHVOp00QPmk2ZOftStIejLhgvBs0BkljqlpiucG1O6a0aIzD9BP7RW7NQ8mYI4ZpLbtHNwJjGUWwSes_MRj6dlWw62EOXmSVjrl8512LXX-d4ppFjqrZs36MhBy5i4a46Ves-odqB9c-BUds0eUv7XFc_xcyRtkhnA2Gy1J6ec-w10RvWj/w318-h400-rw/ZFZA558.jpg
 شرح المكودي على الألفية فى علمي الصرف والنحو	 ابن مالك الطائي الأندلسي (ت 672هـ)		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1417 هـ ، 1969م	 الأولى	 1 	 368 	https://www.lisanarb.com/2024/05/pdf_286.html	 https://archive.org/download/lis_m164/lisanarb.com_m6407.pdf https://archive.org/download/lis_ak108/lis_ak10809.pdf  https://archive.org/stream/lis_m164/lisanarb.com_m6407#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjq11syk05MjsJqEce5Y8oPK7dWNHXO83XhWRQZst-bH9k_c41EKp5F9LG4KcloI5uO6mrAECVQ2k-Sq9-AKQJ5MbYbvRXPw8s2KEBEwl4VvcxNyMWTHifLFHI96KpF0Z4WB1aqW8nwTxKWqrv9HkthlruY8ZF2OAd5Vaf1-Jc1G1xwdXdcvxwn3hyphenhyphenT/w318-h400-rw/ZFZA557.jpg
 مرجع الطلاب في الإملاء (طبعة 8)	 الدكتور إبراهيم شمس الدين		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1441هـ ، 2020م	 8	 1 	 266 	https://www.lisanarb.com/2024/05/8-pdf_29.html	 https://archive.org/download/lis_m166/lisanarb.com_m6602.pdf  https://archive.org/stream/lis_m166/lisanarb.com_m6602#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjL-rawsYhRvzCWd1pjPHMWYsanQ5IcGz5uuIryQ7Dqg2yjWx02wDu6rjSQbgSWXOJ_NurNin_PBYIbXf7g6-VKjV3gRx4KntnfVJ6CGMlgsbHd7mDvW1sSGE9GEByI3YZmB2XcxUEj4U704qTGV0BT3LK7d0EP8ru_gsFPObDXFdudE6EHnDQtTQg8/w318-h400-rw/ZFZA556.jpg
 مرجع الطلاب في الإنشاء (طبعة 2)	 الدكتور إبراهيم شمس الدين		 دار الكتب العلمية للنشر والتوزيع	 بيروت	 1424هـ ، 2004م	 2	 1 	 266 	https://www.lisanarb.com/2024/05/2-pdf_17.html	 https://archive.org/download/lis_m165/lisanarb.com_m6504.pdf  https://archive.org/stream/lis_m165/lisanarb.com_m6504#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgMy9aFQluwsK2dQ40ygHlvpfl1qTgm60xwbLoXsiJie1ezYqKIqZhvwH0ohsL177tb-goe-z4EsSQ1iFw6dxyp1GkuRYl4fd9ZrfWQ92F3dX0bgOObQ2d3FnXE0a4Smyx1beD2-L57YEvnR4QKiOFjKH-fG_RUowmhQSge6UY-fEMf17DBRIx4FzkK/w318-h400-rw/ZFZA555.jpg
