title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url
 نور النهار			 مكتبة لبنان ناشرون، بيروت		 1997م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_457.html	https://archive.org/download/lis_an21/lis_an2152.pdf https://archive.org/stream/lis_an21/lis_an2152#mode/2up 
 نمرود الغابة			 مكتبة لبنان ناشرون، بيروت		 1996م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_547.html	https://archive.org/download/lis_an21/lis_an2151.pdf https://archive.org/stream/lis_an21/lis_an2151#mode/2up 
 نبع الفرس			 مكتبة لبنان ناشرون، بيروت		 1993م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_264.html	https://archive.org/download/lis_an21/lis_an2150.pdf https://archive.org/stream/lis_an21/lis_an2150#mode/2up 
 مهرة الصحراء			 مكتبة لبنان ناشرون، بيروت		 1993م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_950.html	https://archive.org/download/lis_an21/lis_an2149.pdf https://archive.org/stream/lis_an21/lis_an2149#mode/2up 
 معروف الإسكافي			 مكتبة لبنان ناشرون، بيروت		 1993م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_872.html	https://archive.org/download/lis_an21/lis_an2148.pdf https://archive.org/stream/lis_an21/lis_an2148#mode/2up 
 مرآة الأميرة			 مكتبة لبنان ناشرون، بيروت		 1998م	 الأولى 		 36 	https://www.lisanarb.com/2023/04/pdf_964.html	https://archive.org/download/lis_an21/lis_an2147.pdf https://archive.org/stream/lis_an21/lis_an2147#mode/2up 
 كنز الحفَّاظ في كتاب تهذيب الألفاظ (ملون)	 ابن السكيت، أبو يوسف يعقوب بن إسحاق (ت 244هـ)	 لويس شيخو	 المطبعة الكاثوليكية، بيروت		 1895-1896م	 الأولى 		 958 	https://www.lisanarb.com/2023/04/pdf_107.html	https://archive.org/download/lis_qd155/lis_qd15507_1.pdf https://archive.org/download/lis_qd155/lis_qd15507_2.pdf https://archive.org/download/lis_qd155/lis_qd15507_3.pdf https://archive.org/stream/lis_qd155/lis_qd15507_1#mode/2up https://archive.org/stream/lis_qd155/lis_qd15507_2#mode/2up https://archive.org/stream/lis_qd155/lis_qd15507_3#mode/2up 
 كنز الحفاظ في كتاب تهذيب الألفاظ (ملون)	 ابن السكيت، أبو يوسف يعقوب بن إسحاق (ت 244هـ)	 لويس شيخو	 المطبعة الكاثوليكية، بيروت		 1895-1896م	 الأولى 		 958 	https://www.lisanarb.com/2023/04/pdf_713.html	
 كنز الحفاظ في كتاب تهذيب الألفاظ (ط الأستانة)	 ابن السكيت، أبو يوسف يعقوب بن إسحاق (ت 244هـ)	 لويس شيخو	 المعونية الثقافية للأستانة		 1366هـ ، 1987م	 الأولى 		 971 	https://www.lisanarb.com/2023/04/pdf_600.html	https://archive.org/download/lis_qd29/lis_qd2904.pdf https://archive.org/stream//lis_qd29/lis_qd2904#mode/2up 
 كتاب معرض الخطوط العربيّة	 لويس شيخو		 مطبعة الأباء اليسوعيين، بيروت		 1912م 	 الأولى 		 136 	https://www.lisanarb.com/2023/04/pdf_961.html	https://archive.org/download/lis_qd28/lis_qd2808.pdf https://archive.org/download/lis_qd107/lis_qd10714.pdf https://archive.org/stream/lis_qd28/lis_qd2808#mode/2up 
 كتاب فقه اللّغة	 لأبي منصور بن إسماعيل الثعالبي النيسابوري (ت 429هـ)	 لويس شيخو	 مطبعة الآباء اليسوعيين في بيروت		 1885م	 الأولى 		 468 	https://www.lisanarb.com/2023/04/pdf_702.html	https://archive.org/download/lis_qd28/lis_qd2805.pdf https://archive.org/download/fikhallughat00abda/fikhallughat00abda.pdf https://archive.org/stream/lis_qd28/lis_qd2805#mode/2up 
 كتاب الكتّاب لابن دُرُسْتُويَه	 ابن دُرُسْتُويَه، أبي محمد عبد الله بن جعفر بن محمد	 لويس شيخو	 مطبعة الأباء اليسوعيين، بيروت		 1921م	 الأولى 		 134 	https://www.lisanarb.com/2023/04/pdf_538.html	https://archive.org/download/lis_aka64/lis_aka6407.pdf https://archive.org/download/kitabalkuttaboul00ibnd/kitabalkuttaboul00ibnd.pdf https://archive.org/stream/lis_aka64/lis_aka6407#mode/2up 
 كتاب الألفاظ الكتابيَّة	 عبد الرحمن بن عيسى الهمذاني	 لويس شيخو	 مطبعة الآباء اليسوعيين، بيروت		 1913م	 التاسعة		 352 	https://www.lisanarb.com/2023/04/pdf_895.html	https://archive.org/download/lis_qd26/lis_qd2607.pdf https://archive.org/stream/lis_qd26/lis_qd2607#mode/2up 
 قواعد اللغة العربية الميسرة	 د. فهمي قطب الدين النجار			 الرياض	 1428 هـ ، 2007م	 الأولى 	 1 	 64 	https://www.lisanarb.com/2023/04/pdf_259.html	https://archive.org/download/lis_n101/lisanarb.com_n1106.pdf https://archive.org/download/lis_na09/lis_na0909.pdf https://archive.org/stream/lis_n101/lisanarb.com_n1106#mode/2up 
 الذكر والدعاء والعلاج بالرقي من الكتاب والسنة	 د. القحطاني، سعيد بن علي بن وهف	 ياسر بن فتحي المصري - فريح بن صالح البهلال	 مؤسسة الجريسى للتوزيع والإعلان		 1422هـ ، 2002م	 3 	 4 تم دمج المجلدات في ملف واحد للتسلسل 	 1497 	https://www.lisanarb.com/2023/04/pdf_582.html	https://archive.org/download/lis_m48/lisanarb.com_m4808.pdf https://archive.org/download/lis_adh09/lis_adh0904.pdf https://archive.org/stream/lis_m48/lisanarb.com_m4808#mode/2up 
