title	author	editor	pub	pubplace	date	edition	vols	pages	url	ia_url	cover_urls
 المدخل إلى النحو العربي, قواعد وتدريبات	 د. محمد أحمد خضير			 مصر		 الأولى 	 1 	 123 	https://www.lisanarb.com/2021/12/pdf_252.html	https://archive.org/download/lis_n94/lisanarb.com_n9409.pdf https://archive.org/download/lis_na11/lis_na1103.pdf https://archive.org/stream/lis_n94/lisanarb.com_n9409#mode/2up 	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhZfVUsQ2zZrTNIj4OWSatYpGYyfEmKJ3UAS__3_eW1J72OMy72aaorn1Rj8akssdzWYtrDF0D63Na4ZCe2QGgrsZogEo14EJN9nyZdeEh_O2D4j69JGMnSUhyphenhyphenAKDAdDnVVXCVA2JXERNNXbSSP-u6swGPrmL2YBH5Apsq9_XZ-EHvd6L9UMLLR_jQ3/w286-h400-rw/9989.jpg
 أدوات التشبيه؛ دلالاتها واستعمالاتها في القرآن الكريم (ط الأمانة)	 د. محمود موسى حمدان		 مطبعة الأمانة، مصر		 1413 هـ - 1992 م	 الأولى 	 1 	 304 	https://www.lisanarb.com/2021/12/pdf_507.html	https://archive.org/download/lis_b11/lisanarb.com_b1102.pdf https://archive.org/download/lis_bl03/lis_bl0302.pdf https://archive.org/stream/lis_b11/lisanarb.com_b1102#mode/2up 	https://blogger.googleusercontent.com/img/a/AVvXsEjp5hRAgyxjW5b16puZlfHwOzmC7pJG8yC3kSjphzts9phwOJ5G0XPJSTjdC_AQnRQb3oYchngoJmkHCrczy052pPLYVgV63eBW-YoKd2Tv3t2mG9wgsJpEvt5YTp1kIwRpScGmA5VGcEujWeXlAug2P5l9OWt3pawIAXoHe7PdcRWzNsYdIzV9qNxL2Q=w274-h400-rw
 أدوات التشبيه، دلالاتها واستعمالاتها في القرآن الكريم (ط وهبة)	 د. محمود موسى حمدان		 مكتبة وهبة، القاهرة		 1428هـ ، 2007م 	 الثانية	 1 	 278 	https://www.lisanarb.com/2021/12/pdf_549.html	https://archive.org/download/lis_b11/lisanarb.com_b1101.pdf https://archive.org/download/lis_bl018/lis_bl1801.pdf https://archive.org/stream/lis_b11/lisanarb.com_b1101#mode/2up 	https://blogger.googleusercontent.com/img/a/AVvXsEg-PnruMdHmWFoeSVw7rO1RG7G7Ewy042lutSBBSy8vBGetLxKOEmH4qLO-Paz5doS_I7PufyiQDipyryohuoBgkhSZJSDoxDqHUzJmRHc85-lRqBPl9SMTsXO_N8xJOOtCaPoyQlneqYCXkxqxWlB1PruCd_vkOUEZz4NfWep4ZFlrrEtm05OLIPuXIA=w274-h400-rw
